"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.682641042E0,1.351632138E-1,-1.014542202E0,-1.665872909E0
3.692640042E0,3.479501157E-1,-9.058623433E-1,-2.215408269E0
3.702639042E0,5.849553077E-1,-7.790926614E-1,-2.711479613E0
3.712638042E0,5.869607565E-1,-6.500674161E-1,-3.134927954E0
3.722637042E0,3.085990852E-1,-6.776969719E-1,-3.421816328E0
3.732636042E0,6.740721367E-2,-7.793724507E-1,-3.557357125E0
3.742635042E0,-1.782947615E-1,-7.591203269E-1,-3.499751526E0
3.752634042E0,-2.702490981E-1,-6.601822221E-1,-3.291745015E0
3.762633042E0,-2.173722153E-1,-4.776207474E-1,-2.796102272E0
3.772632042E0,-3.148113864E-1,-2.722726732E-1,-1.963731244E0
3.782631042E0,-1.370386351E-1,-1.614960033E-1,-1.297914644E0
3.792630042E0,1.985139947E-1,9.785695463E-2,-1.155816194E0
3.802629042E0,3.029881702E-1,4.442109266E-1,-1.490105022E0
3.812628042E0,2.840232378E-1,7.057975209E-1,-1.977630075E0
3.822627042E0,2.950143953E-1,8.940100372E-1,-2.041595106E0
3.832626042E0,3.879038478E-1,9.390642956E-1,-1.588687323E0
3.842625042E0,3.424548293E-1,8.710608852E-1,-9.975554556E-1
3.852624042E0,3.785772465E-2,6.045471346E-1,-5.597902071E-1
3.862623042E0,-3.558839102E-1,2.953203508E-1,-4.084654355E-1
3.872622042E0,-7.834226708E-1,1.566314122E-1,-5.394933522E-1
3.882621042E0,-8.988959706E-1,2.009842971E-1,-1.316897045E0
3.892620042E0,-9.112533300E-1,1.169083527E-1,-1.880689087E0
